Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.933807412,CCOC(C)=O,C1=CC=C(C=C1)C=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.776001105,COCCO,C1=CC=C(C=C1)C=O,XNWFRZJHXBZDAG-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.950698811,CCCOC(C)=O,C1=CC=C(C=C1)C=O,YKYONYBAUNKHLG-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.969713089,ClCCl,C1=CC=C(C=C1)C=O,YMWUJEATGCHHMB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.026409103,CCc1ccccc1,C1=CC=C(C=C1)C=O,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.077548132,Cc1ccccc1,C1=CC=C(C=C1)C=O,YXFVVABEGXRONW-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.826106056,CN(C)C=O,C1=CC=C(C=C1)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.908674076,CCOCCO,C1=CC=C(C=C1)C=O,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.019364521,CCCCCCO,C1=CC=C(C=C1)C=O,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.855333228,CCC(C)=O,C1=CC=C(C=C1)C=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-0.940353349,CC(C)CO,C1=CC=C(C=C1)C=O,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
