,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(=O)O,34
3,CC(C)=O,328
4,CC(C)CO,102
5,CC(C)O,359
6,CCC(C)O,56
7,CCCCCO,61
8,CCCCO,276
9,CCCO,300
10,CCO,489
11,CO,409
