,Solvent_smiles,Solvent count
0,C1CCCCC1,78
1,C1COCCO1,130
2,CC(C)CO,102
3,CC(C)O,359
4,CCCCO,276
5,CCCO,300
6,CCO,489
7,CN(C)C=O,134
8,CN1CCCC1=O,48
9,CO,409
10,CS(C)=O,46
11,OCCO,53
