,Solvent_smiles,Solvent count
0,CC#N,252
1,CC(C)=O,328
2,CC(C)CO,102
3,CC(C)O,359
4,CCCCO,276
5,CCCCOC(C)=O,36
6,CCCO,300
7,CCO,489
8,CCOC(C)=O,347
9,CO,409
10,COC(C)=O,65
