,Solvent_smiles,Solvent count
0,C1CCCCC1,78
1,C1COCCO1,130
2,CC#N,252
3,CC(C)CO,102
4,CC(C)O,359
5,CCCCCCCO,12
6,CCCCO,276
7,CCCO,300
8,CCO,489
9,CCOC(C)=O,347
10,CN(C)C=O,134
11,CN1CCCC1=O,48
12,CO,409
13,OCCO,53
