,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC(=O)N(C)C,13
2,CC(=O)O,34
3,CC(C)=O,328
4,CCCO,300
5,CCO,489
6,CCOC(C)=O,347
7,CCOCCO,19
8,CN(C)C=O,134
9,CN1CCCC1=O,48
10,CO,409
11,COCCO,10
12,CS(C)=O,46
