,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(C)=O,328
3,CC(C)O,359
4,CCCCO,276
5,CCCO,300
6,CCO,489
7,CCOC(C)=O,347
8,CO,409
9,Cc1ccccc1,153
10,O=C1CCCCC1,25
