,Solvent_smiles,Solvent count
0,CC(C)=O,328
1,CC(C)CO,102
2,CC(C)O,359
3,CCCCO,276
4,CCCCOC(C)=O,36
5,CCCO,300
6,CCO,489
7,CCOC(C)=O,347
8,CO,409
9,COC(C)=O,65
