,Solvent_smiles,Solvent count
0,C1CCOC1,72
1,C1COCCO1,130
2,CC#N,252
3,CC(C)=O,328
4,CC(C)O,359
5,CC(O)CO,23
6,CCC(C)O,56
7,CCO,489
8,CCOC(C)=O,347
9,CN(C)C=O,134
10,Cc1ccccc1,153
11,ClCCl,48
12,OCCO,53
