,Solvent_smiles,Solvent count
0,C1CCOC1,72
1,C1COCCO1,130
2,CC(C)=O,328
3,CC(C)CO,102
4,CCC(C)O,56
5,CCCCO,276
6,CCCO,300
7,CCCOC(C)=O,25
8,CCO,489
9,CCOC(C)=O,347
10,CO,409
11,COC(C)=O,65
