,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(C)=O,328
3,CC(C)CO,102
4,CC(C)O,359
5,CCC(C)O,56
6,CCCCCO,61
7,CCCCO,276
8,CCCO,300
9,CCO,489
10,CO,409
