,Solvent_smiles,Solvent count
0,CC(C)=O,328
1,CC(C)CO,102
2,CC(C)O,359
3,CCCCO,276
4,CCCO,300
5,CCO,489
6,Cc1ccccc1,153
7,ClC(Cl)Cl,69
8,c1ccccc1,25
