,Solvent_smiles,Solvent count
0,C1CCOC1,72
1,CC#N,252
2,CC(C)=O,328
3,CC(C)O,359
4,CCCCCC,84
5,CCCCCCC,24
6,CCCCO,276
7,CCCO,300
8,CCO,489
9,CCOC(C)=O,347
10,CO,409
11,Cc1ccccc1,153
