,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(C)=O,328
3,CC(C)CO,102
4,CC(C)O,359
5,CCC(C)=O,74
6,CCC(C)O,56
7,CCCCCO,61
8,CCCCO,276
9,CCCCOC(C)=O,36
10,CCCO,300
11,CCCOC(C)=O,25
12,CCO,489
13,CCOC(C)=O,347
14,CCOC=O,16
15,CN(C)C=O,134
16,CO,409
17,COC(C)=O,65
