,Solvent_smiles,Solvent count
0,CC(=O)O,34
1,CC(C)=O,328
2,CC(C)CCO,21
3,CC(C)CO,102
4,CC(C)O,359
5,CCC(C)O,56
6,CCCCCCCO,12
7,CCCCCCO,22
8,CCCCCO,61
9,CCCCO,276
10,CCCO,300
11,CCO,489
12,CO,409
