,Solvent_smiles,Solvent count
0,CC#N,252
1,CC(=O)O,34
2,CC(C)O,359
3,CCCCO,276
4,CCO,489
5,CCOC(C)=O,347
6,CN(C)C=O,134
7,CO,409
