,Solvent_smiles,Solvent count
0,CC#N,252
1,CC(=O)O,34
2,CC(C)=O,328
3,CC(C)O,359
4,CCCCO,276
5,CCOC(C)=O,347
6,CN(C)C=O,134
7,CO,409
