,Solvent_smiles,Solvent count
0,C1CCCCC1,78
1,CC#N,252
2,CC(C)=O,328
3,CC(C)O,359
4,CCC(C)=O,74
5,CCCCO,276
6,CCCO,300
7,CCO,489
8,CCOC(C)=O,347
9,CO,409
10,Cc1ccccc1,153
