,Solvent_smiles,Solvent count
0,CC#N,252
1,CC(C)=O,328
2,CC(C)CCO,21
3,CC(C)O,359
4,CCC(C)=O,74
5,CCCCO,276
6,CCCO,300
7,CCO,489
8,CN(C)C=O,134
9,CN1CCCC1=O,48
