,Solvent_smiles,Solvent count
0,CC(C)=O,328
1,CC(C)O,359
2,CCC(C)O,56
3,CCCCCCCCO,78
4,CCCCO,276
5,CCCO,300
6,CCO,489
7,CCOC(C)=O,347
8,CO,409
9,Cc1ccccc1,153
10,c1ccccc1,25
