,Solvent_smiles,Solvent count
0,CC#N,252
1,CC(=O)OC(C)C,14
2,CC(C)=O,328
3,CC(C)CCO,21
4,CC(C)O,359
5,CCCCO,276
6,CCCO,300
7,CCCOC(C)=O,25
8,CCO,489
9,CCOC(C)=O,347
10,CCOC=O,16
11,COC(C)=O,65
