,Solvent_smiles,Solvent count
0,C1CCCCC1,78
1,CC#N,252
2,CC(C)=O,328
3,CC(C)CO,102
4,CC(C)O,359
5,CCCCO,276
6,CCCO,300
7,CCO,489
8,CN(C)C=O,134
9,CN1CCCC1=O,48
10,CO,409
11,CS(C)=O,46
12,OCCO,53
