,Solvent_smiles,Solvent count
0,C1CCCCC1,78
1,CC#N,252
2,CC(C)=O,328
3,CC(C)O,359
4,CCCO,300
5,CCO,489
6,CCOC(C)=O,347
7,CO,409
8,Cc1ccccc1,153
