,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(C)CO,102
3,CC(C)O,359
4,CCC(C)=O,74
5,CCCCO,276
6,CCCO,300
7,CCOC(C)=O,347
8,CO,409
9,Cc1ccccc1,153
10,ClC(Cl)Cl,69
