,Solvent_smiles,Solvent count
0,C1COCCO1,130
1,CC#N,252
2,CC(C)CO,102
3,CC(C)O,359
4,CCC(C)O,56
5,CCCCO,276
6,CCCCOC(C)=O,36
7,CCCO,300
8,CCCOC(C)=O,25
9,CCO,489
10,CCOC(C)=O,347
11,CCOC=O,16
12,COC(C)=O,65
